valor,hora,cidade
1814,7,Jundiai
845,22,Jundiai
544,15,Valinhos
1921,22,São Paulo
1157,12,Campinas
600,7,Valinhos
2071,14,Valinhos
2345,20,Valinhos
71,23,Valinhos
114,13,Jundiai
1805,23,Jundiai
1123,10,Vinhedo
378,6,Valinhos
2417,11,Valinhos
320,10,São Paulo
953,14,Valinhos
666,20,Jundiai
2123,19,São Paulo
594,7,Valinhos
724,19,Valinhos
228,12,Vinhedo
1702,13,Jundiai
1283,11,Valinhos
2105,9,Jundiai
1062,21,Vinhedo
2439,8,Campinas
1885,9,Valinhos
1685,19,Valinhos
2290,22,São Paulo
592,18,Valinhos
2413,10,Vinhedo
1529,7,Jundiai
1492,13,Valinhos
848,16,Valinhos
2123,6,Jundiai
979,19,Valinhos
1664,9,Vinhedo
1654,15,São Paulo
1161,9,Campinas
2138,20,Campinas
651,11,Vinhedo
1576,21,Campinas
1019,16,Valinhos
2489,19,Campinas
1380,15,São Paulo
953,18,Campinas
153,7,Campinas
2350,10,Vinhedo
2398,10,Valinhos
1980,8,Jundiai
113,18,São Paulo
1291,13,Valinhos
1160,17,Campinas
1322,17,Campinas
1389,18,Vinhedo
1410,6,São Paulo
1569,14,São Paulo
230,11,Campinas
1088,11,Valinhos
263,23,Jundiai
1339,15,Valinhos
854,12,Jundiai
2313,7,Campinas
2124,19,Vinhedo
1107,14,Campinas
55,14,Valinhos
277,12,Jundiai
202,23,Vinhedo
2210,15,Valinhos
517,16,Valinhos
1883,22,Jundiai
1395,8,Vinhedo
2194,8,Jundiai
572,9,Vinhedo
320,19,Jundiai
1715,21,São Paulo
1590,18,Campinas
551,12,Campinas
2442,13,São Paulo
1605,20,Valinhos
1526,9,Jundiai
2033,14,Valinhos
2462,9,São Paulo
1766,13,São Paulo
921,21,Valinhos
1979,11,São Paulo
847,15,São Paulo
1133,8,Valinhos
1837,13,Vinhedo
1811,20,Vinhedo
419,21,São Paulo
2168,16,São Paulo
526,15,São Paulo
1000,9,São Paulo
1983,23,Valinhos
1034,22,Jundiai
246,13,Vinhedo
273,7,Campinas
717,11,Jundiai
1986,11,São Paulo
1254,8,Jundiai
921,6,Vinhedo
2331,20,São Paulo
1069,17,Campinas
1462,22,Vinhedo
1905,18,São Paulo
804,12,Campinas
1802,19,Campinas
1254,15,Campinas
773,12,Valinhos
1674,14,Vinhedo
1093,13,Jundiai
650,18,Campinas
2098,16,Jundiai
985,14,Valinhos
527,8,São Paulo
1416,23,São Paulo
604,11,Jundiai
1314,20,Vinhedo
2124,17,Campinas
1001,18,Vinhedo
2445,12,São Paulo
334,12,Campinas
646,6,Campinas
1724,14,Jundiai
1240,8,Vinhedo
1106,22,São Paulo
961,20,Jundiai
556,20,Vinhedo
2041,13,Jundiai
380,20,São Paulo
1361,19,Campinas
504,20,Valinhos
965,13,Valinhos
1027,22,Valinhos
2071,18,Campinas
313,15,Jundiai
999,21,Jundiai
172,16,São Paulo
1955,6,Valinhos
1674,12,Campinas
504,16,Campinas
2358,7,Campinas
2078,15,Valinhos
1344,13,Jundiai
320,7,São Paulo
1766,19,Campinas
1006,12,São Paulo
163,23,São Paulo
708,11,São Paulo
1309,9,Valinhos
1226,13,Campinas
179,20,São Paulo
1840,11,São Paulo
799,16,Vinhedo
1868,10,São Paulo
1309,8,Jundiai
2021,7,Vinhedo
2208,7,Valinhos
720,6,Vinhedo
738,13,Campinas
360,11,Vinhedo
1007,16,Valinhos
1614,20,São Paulo
2391,23,Jundiai
1327,16,Vinhedo
2288,15,Jundiai
442,19,Vinhedo
2289,18,Vinhedo
1888,11,Vinhedo
838,17,São Paulo
314,21,Vinhedo
1940,20,Valinhos
930,17,Campinas
824,9,Campinas
601,14,Valinhos
2169,14,Vinhedo
1285,10,Jundiai
759,21,Valinhos
2161,15,Vinhedo
2119,17,Jundiai
219,22,Valinhos
2490,10,Campinas
1785,23,Vinhedo
882,22,Vinhedo
841,10,Valinhos
361,15,Vinhedo
892,19,Valinhos
851,18,Vinhedo
755,11,Campinas
689,11,Valinhos
982,10,Valinhos
1708,6,Campinas
1243,10,Campinas
2307,6,Campinas
1246,18,Valinhos
141,17,Vinhedo
1673,8,Jundiai
1118,7,Valinhos
760,9,Vinhedo
1655,16,Jundiai
2268,21,São Paulo
2373,11,Vinhedo
376,20,Vinhedo
2462,23,Campinas
516,23,Vinhedo
1749,13,Jundiai
2283,12,Jundiai
1405,12,Valinhos
1162,17,Valinhos
191,19,Vinhedo
2358,7,Campinas
162,8,Valinhos
349,10,Valinhos
2089,15,Campinas
1667,8,Vinhedo
2396,14,Valinhos
936,14,Valinhos
235,23,Vinhedo
1392,20,Jundiai
587,19,Jundiai
2233,16,Vinhedo
1126,10,São Paulo
225,13,Valinhos
2472,19,Vinhedo
1248,11,São Paulo
1408,20,Campinas
1915,19,Valinhos
2233,9,Vinhedo
1106,10,Vinhedo
2351,19,Vinhedo
2481,10,Valinhos
340,14,São Paulo
1349,10,Vinhedo
986,17,Vinhedo
509,20,Valinhos
2233,8,São Paulo
385,19,Vinhedo
1983,18,Jundiai
1842,21,Vinhedo
1876,19,Vinhedo
491,9,Valinhos
457,17,Campinas
432,21,Valinhos
806,23,Valinhos
1940,19,Campinas
1967,12,Vinhedo
1814,22,Vinhedo
1416,18,Campinas
966,21,Vinhedo
818,8,Campinas
1981,10,São Paulo
1699,17,Jundiai
1753,15,Vinhedo
321,18,Jundiai
1182,19,São Paulo
1306,18,Campinas
1539,20,Jundiai
615,18,Campinas
1419,7,Campinas
1486,19,Jundiai
224,7,Vinhedo
1155,9,Valinhos
618,13,Valinhos
1632,11,Valinhos
1648,6,Vinhedo
1619,7,Campinas
546,17,Vinhedo
1722,8,Vinhedo
781,17,Vinhedo
1071,8,Vinhedo
2174,18,Vinhedo
255,17,Valinhos
1402,11,Vinhedo
2426,6,Campinas
1251,9,Valinhos
1686,20,Vinhedo
2427,12,Campinas
1430,18,Valinhos
2085,13,São Paulo
787,12,Valinhos
998,18,Vinhedo
1079,15,Valinhos
95,11,Campinas
2347,22,São Paulo
2310,15,Jundiai
1576,22,Valinhos
2482,16,Campinas
2409,21,Campinas
290,20,Jundiai
711,18,São Paulo
1793,11,São Paulo
571,17,Vinhedo
2460,12,Campinas
496,18,Jundiai
608,17,Valinhos
1152,23,Campinas
1645,18,São Paulo
1040,6,Vinhedo
641,20,Vinhedo
2287,21,Vinhedo
2415,7,Valinhos
1459,12,São Paulo
599,8,Vinhedo
325,9,Vinhedo
1733,13,Campinas
1258,22,Valinhos
1074,6,Vinhedo
2315,11,Jundiai
1379,23,Jundiai
315,7,Campinas
1586,19,Vinhedo
891,22,Valinhos
1486,22,Valinhos
1336,18,Campinas
821,18,Valinhos
24,19,São Paulo
245,15,Campinas
1776,17,Campinas
2106,15,São Paulo
1258,17,Jundiai
1309,12,São Paulo
515,7,São Paulo
1013,20,Valinhos
13,6,Jundiai
31,12,Valinhos
1764,9,Campinas
706,15,Jundiai
1435,15,São Paulo
1165,8,São Paulo
972,10,São Paulo
1052,19,Jundiai
355,19,Vinhedo
1709,18,Campinas
2169,23,Vinhedo
50,9,Jundiai
337,17,São Paulo
2307,10,Valinhos
1455,18,Vinhedo
1324,12,Jundiai
937,13,São Paulo
1143,11,Valinhos
2269,19,Campinas
2402,20,Campinas
1353,12,Jundiai
762,13,Jundiai
180,9,Valinhos
1009,10,Vinhedo
214,12,Valinhos
2122,12,São Paulo
826,7,Valinhos
379,15,São Paulo
1354,10,Valinhos
460,14,Jundiai
2297,7,Vinhedo
1321,10,Vinhedo
1410,19,Campinas
1897,10,Campinas
1294,13,Vinhedo
141,7,Jundiai
947,6,Valinhos
1458,7,São Paulo
741,16,São Paulo
202,12,Vinhedo
2240,22,Vinhedo
483,23,Vinhedo
1787,23,Jundiai
1888,16,Campinas
2140,15,Campinas
1536,21,Jundiai
320,8,Jundiai
418,14,Campinas
1477,19,São Paulo
551,6,Vinhedo
1371,13,Jundiai
1692,8,Campinas
1257,20,Campinas
1082,21,Jundiai
511,14,Jundiai
1728,23,Valinhos
167,8,Jundiai
320,19,Jundiai
1986,6,Jundiai
738,9,Valinhos
1920,22,São Paulo
371,9,Vinhedo
1923,12,Jundiai
1257,16,Jundiai
1691,19,Campinas
1324,11,São Paulo
583,9,Vinhedo
2365,20,Jundiai
145,13,São Paulo
733,14,Vinhedo
771,8,Campinas
1820,12,São Paulo
1714,20,Vinhedo
167,19,Campinas
189,7,Campinas
827,22,Campinas
1256,10,Campinas
355,19,Vinhedo
636,14,Valinhos
1456,17,São Paulo
2457,21,Vinhedo
888,17,Vinhedo
1643,9,Vinhedo
599,17,Vinhedo
932,9,Vinhedo
27,23,Valinhos
1741,14,Valinhos
2344,20,Valinhos
203,19,Vinhedo
68,14,Campinas
577,22,Campinas
1245,20,Jundiai
2008,15,Campinas
844,13,Valinhos
699,14,Jundiai
508,21,São Paulo
2114,8,Valinhos
818,6,Vinhedo
1718,16,Vinhedo
2288,16,São Paulo
1059,14,Vinhedo
543,19,Campinas
1314,7,Campinas
461,20,Jundiai
476,23,São Paulo
2366,12,Valinhos
659,19,Campinas
1103,16,São Paulo
567,16,São Paulo
1974,12,Valinhos
693,15,Vinhedo
2066,13,Vinhedo
1657,7,Valinhos
157,21,Vinhedo
1353,6,São Paulo
233,22,Vinhedo
1385,18,São Paulo
873,10,São Paulo
194,6,Jundiai
2427,19,Valinhos
1627,12,São Paulo
2106,13,Vinhedo
2055,7,Campinas
2001,6,Campinas
747,10,Vinhedo
633,10,São Paulo
2399,8,Valinhos
1652,7,Jundiai
852,12,São Paulo
1614,16,Valinhos
1187,15,Jundiai
914,12,São Paulo
1896,17,Vinhedo
2367,8,Jundiai
1528,11,Vinhedo
1824,13,Vinhedo
2357,21,Valinhos
1523,15,Jundiai
2441,6,Jundiai
1275,20,Vinhedo
1312,16,Campinas
175,10,Vinhedo
379,11,Jundiai
2478,15,Vinhedo
251,21,Valinhos
809,13,Valinhos
47,8,Campinas
1923,7,Vinhedo
653,16,São Paulo
2107,18,Vinhedo
1049,15,Campinas
749,17,Jundiai
38,18,Campinas
632,13,Campinas
474,7,Valinhos
548,15,São Paulo
1810,21,São Paulo
304,15,Valinhos
387,19,Jundiai
742,8,São Paulo
117,9,São Paulo
1575,22,Campinas
723,19,Valinhos
1275,16,São Paulo
222,8,Campinas
1109,8,Valinhos
415,9,Valinhos
2017,20,Vinhedo
1300,21,Valinhos
342,13,São Paulo
550,14,Jundiai
1521,16,São Paulo
2149,10,Vinhedo
1885,17,Campinas
326,10,Jundiai
779,21,Campinas
426,23,São Paulo
2395,12,São Paulo
322,12,Valinhos
1109,15,Valinhos
1483,22,Campinas
1643,10,Jundiai
30,6,Jundiai
1310,18,São Paulo
2000,16,Valinhos
1082,9,Valinhos
1680,10,Valinhos
936,18,Vinhedo
1910,12,Campinas
2297,9,São Paulo
2181,22,São Paulo
1681,6,Valinhos
1739,11,Valinhos
1347,20,Vinhedo
835,12,São Paulo
1050,11,Campinas
2446,19,Vinhedo
1198,21,Jundiai
241,8,Campinas
916,6,Valinhos
2497,21,Campinas
1700,14,Vinhedo
1955,23,Campinas
994,11,Valinhos
808,12,Campinas
1945,14,Vinhedo
1282,19,Campinas
1334,23,São Paulo
1040,13,Vinhedo
2055,23,Campinas
2358,14,Jundiai
972,18,Valinhos
374,17,São Paulo
2467,8,Vinhedo
1551,16,São Paulo
1853,8,Jundiai
419,18,São Paulo
346,6,São Paulo
1839,10,Valinhos
1674,7,Vinhedo
524,19,Campinas
1671,7,Valinhos
578,13,São Paulo
91,16,Campinas
121,22,Jundiai
636,22,Vinhedo
466,14,Jundiai
1114,21,Vinhedo
79,6,Vinhedo
248,19,Campinas
14,19,Valinhos
1402,14,Vinhedo
2282,14,São Paulo
832,13,Jundiai
718,22,Valinhos
1228,8,Vinhedo
1112,15,Vinhedo
1883,18,Campinas
217,20,Jundiai
601,17,Valinhos
1056,12,Jundiai
2055,18,Campinas
1460,10,Campinas
1720,8,Valinhos
183,13,São Paulo
1045,18,Vinhedo
1268,13,Campinas
2332,23,Jundiai
475,17,Vinhedo
922,18,Valinhos
2268,22,Campinas
388,23,Jundiai
1195,14,Campinas
2479,9,Vinhedo
1390,12,São Paulo
1198,19,Jundiai
1637,19,Campinas
244,20,Jundiai
808,23,Valinhos
640,12,Vinhedo
1360,8,Jundiai
28,12,Valinhos
398,12,Valinhos
1605,20,Jundiai
1098,14,Vinhedo
916,19,Valinhos
1444,19,Jundiai
200,7,Jundiai
409,11,Valinhos
1519,18,Campinas
180,21,Jundiai
633,18,São Paulo
1580,21,Jundiai
1677,19,Vinhedo
2173,6,Campinas
38,11,Valinhos
139,8,Vinhedo
172,15,São Paulo
1609,22,São Paulo
1153,18,Campinas
1151,23,Jundiai
2352,7,São Paulo
766,17,São Paulo
1905,9,Vinhedo
488,22,Campinas
356,9,São Paulo
1041,7,São Paulo
210,12,Valinhos
2352,7,Jundiai
2014,22,Jundiai
164,10,São Paulo
1012,11,São Paulo
2396,17,Jundiai
1317,15,São Paulo
953,12,Campinas
1591,21,Jundiai
1070,21,São Paulo
536,11,Vinhedo
1310,11,São Paulo
1651,6,Jundiai
2404,16,São Paulo
328,16,Valinhos
1187,23,Valinhos
1457,14,Valinhos
10,8,Vinhedo
995,6,São Paulo
2120,21,Jundiai
1786,11,São Paulo
524,15,Vinhedo
492,7,Campinas
1755,11,São Paulo
1651,12,São Paulo
284,17,Vinhedo
478,22,Valinhos
1347,14,Campinas
1160,21,Jundiai
1242,18,Valinhos
1284,23,Vinhedo
1967,22,Valinhos
1280,8,São Paulo
756,19,Campinas
1464,22,Campinas
1108,22,Vinhedo
2470,12,Jundiai
361,6,Valinhos
91,22,Vinhedo
1430,7,Valinhos
115,7,São Paulo
2482,12,Campinas
1097,6,São Paulo
1021,23,Jundiai
453,20,Vinhedo
1515,10,São Paulo
1509,17,São Paulo
631,11,Vinhedo
982,6,Valinhos
1169,9,Valinhos
1597,14,São Paulo
209,21,São Paulo
1390,15,Jundiai
1829,23,Campinas
1811,17,Jundiai
1210,18,Vinhedo
664,21,Valinhos
262,17,Jundiai
923,10,Campinas
617,12,Vinhedo
1950,12,Jundiai
2343,8,Jundiai
797,19,São Paulo
1150,18,São Paulo
2145,11,Campinas
1193,22,Valinhos
1473,10,Valinhos
560,7,Valinhos
1688,6,Jundiai
135,19,Campinas
820,20,Valinhos
1612,19,Campinas
694,10,Valinhos
1400,21,São Paulo
183,17,Valinhos
1898,12,Jundiai
2478,13,Campinas
2010,19,Valinhos
1390,15,Vinhedo
274,6,Campinas
1052,18,Campinas
2352,14,Vinhedo
1374,10,Valinhos
390,18,São Paulo
2305,6,Campinas
1335,7,Jundiai
1829,20,Campinas
1258,20,Valinhos
1730,21,Campinas
2154,23,Vinhedo
581,11,Jundiai
784,11,Jundiai
22,23,Jundiai
797,18,Vinhedo
208,18,Jundiai
1149,12,Jundiai
1170,23,Vinhedo
1138,19,Jundiai
1136,20,São Paulo
2289,16,Valinhos
1907,6,Jundiai
769,16,Valinhos
1727,7,Valinhos
696,12,Vinhedo
112,6,Jundiai
1035,19,São Paulo
423,23,Valinhos
1219,6,Vinhedo
560,6,São Paulo
2127,20,Valinhos
765,8,Valinhos
245,18,Jundiai
1349,23,São Paulo
1961,16,Vinhedo
1765,20,Vinhedo
1444,6,Valinhos
1170,8,Campinas
2379,8,Campinas
406,19,Valinhos
1167,8,Campinas
1732,13,Jundiai
1636,21,Vinhedo
67,23,São Paulo
82,10,Valinhos
1417,7,Vinhedo
1589,15,Vinhedo
397,22,Valinhos
1108,17,São Paulo
253,18,Valinhos
1654,6,Campinas
2032,20,Jundiai
1721,12,Valinhos
1951,16,Vinhedo
1352,9,São Paulo
2004,13,Campinas
2033,18,Campinas
1105,17,Jundiai
488,10,Jundiai
1839,22,Vinhedo
2224,11,Valinhos
1444,8,Vinhedo
1348,8,Jundiai
2250,11,Vinhedo
978,12,Campinas
1768,13,São Paulo
152,16,Jundiai
244,11,São Paulo
413,20,Vinhedo
2054,11,Vinhedo
1981,16,São Paulo
854,8,Campinas
448,15,Vinhedo
2484,23,Jundiai
255,18,Jundiai
1862,6,Valinhos
1018,14,Vinhedo
105,10,Campinas
1471,12,Vinhedo
1590,22,Vinhedo
52,17,Valinhos
2083,11,Jundiai
2161,20,Jundiai
1742,10,São Paulo
403,12,Valinhos
1917,23,Campinas
466,16,Jundiai
775,23,Jundiai
2092,8,Campinas
2033,17,Jundiai
1044,21,Vinhedo
1134,22,Campinas
1555,17,Jundiai
2057,11,Jundiai
1241,11,Valinhos
2421,17,Campinas
384,14,Campinas
491,8,Vinhedo
210,17,Valinhos
309,20,Jundiai
1859,13,São Paulo
2493,21,Campinas
2270,21,Jundiai
1033,13,São Paulo
1885,15,Jundiai
2323,9,Jundiai
995,15,Vinhedo
2305,20,Campinas
342,12,Vinhedo
793,23,Campinas
1813,7,Valinhos
2405,14,Valinhos
1677,19,Campinas
1908,12,Jundiai
414,13,Campinas
260,10,Jundiai
177,13,Jundiai
1890,21,Vinhedo
1183,16,Jundiai
1895,16,Vinhedo
352,8,São Paulo
64,8,São Paulo
669,8,São Paulo
793,18,São Paulo
1878,17,São Paulo
1682,7,São Paulo
111,22,Valinhos
479,12,Campinas
1568,6,Jundiai
1906,10,Campinas
654,23,Vinhedo
715,17,Campinas
815,23,Campinas
985,16,Campinas
598,21,São Paulo
1796,10,Valinhos
390,22,São Paulo
241,12,São Paulo
2082,21,Valinhos
298,8,Vinhedo
2397,16,São Paulo
1519,11,Vinhedo
1761,13,Jundiai
756,17,Vinhedo
2401,14,Valinhos
293,22,Jundiai
2197,13,Campinas
743,15,São Paulo
608,10,Valinhos
1068,21,Campinas
1709,21,Vinhedo
1291,6,Jundiai
2124,16,Campinas
2316,20,Valinhos
1061,22,Valinhos
1016,14,Vinhedo
2123,13,Valinhos
1925,11,Campinas
2319,12,Valinhos
563,7,Campinas
1719,16,Jundiai
828,16,São Paulo
1028,10,Valinhos
1333,7,São Paulo
1453,17,Campinas
1403,11,Valinhos
269,10,Campinas
1641,11,Jundiai
1402,17,Valinhos
1892,7,São Paulo
660,21,Vinhedo
610,6,São Paulo
1925,14,Jundiai
1505,20,Vinhedo
897,18,Campinas
2410,13,Valinhos
1349,12,São Paulo
2263,19,Vinhedo
1385,19,São Paulo
1886,7,Campinas
1441,11,Campinas
1715,21,Campinas
2094,13,Vinhedo
1737,7,Jundiai
1213,6,Campinas
2351,18,São Paulo
1070,12,Jundiai
1394,14,Valinhos
916,14,Jundiai
1708,18,Jundiai
138,8,São Paulo
1673,14,Vinhedo
2138,20,Campinas
350,14,Jundiai
2068,16,Valinhos
1065,18,Jundiai
439,12,Vinhedo
1304,8,Jundiai
2030,19,Jundiai
1384,10,São Paulo
238,15,Vinhedo
25,21,São Paulo
2258,16,Vinhedo
1466,6,Jundiai
610,8,Valinhos
774,21,Jundiai
394,10,Vinhedo
2237,22,Vinhedo
1514,13,Vinhedo
221,16,Valinhos
2085,17,Vinhedo
1677,8,Campinas
892,14,São Paulo
1454,11,Jundiai
52,19,São Paulo
1843,18,Jundiai
1283,19,Valinhos
472,20,São Paulo
1191,15,Vinhedo
806,11,Jundiai
518,17,Valinhos
2188,18,Valinhos
1794,20,Valinhos
833,13,Jundiai
1291,16,Vinhedo
907,22,Jundiai
1474,14,Vinhedo
1956,14,São Paulo
1534,20,Jundiai
94,14,São Paulo
600,22,São Paulo
412,20,Campinas
1984,6,Jundiai
138,17,Vinhedo
2292,11,Valinhos
1174,12,São Paulo
349,9,Jundiai
1981,12,Vinhedo
1675,7,Valinhos
2254,21,Vinhedo
717,10,Valinhos
51,21,São Paulo
363,11,Jundiai
1612,23,Vinhedo
1418,7,Jundiai
851,10,São Paulo
919,19,Jundiai
821,9,Valinhos
743,10,Valinhos
974,16,Valinhos
1831,18,Valinhos
697,15,São Paulo
495,14,Vinhedo
738,7,Jundiai
2169,9,Vinhedo
78,20,Valinhos
2423,12,São Paulo
2276,6,Campinas
1518,14,Valinhos
2397,12,Jundiai
643,14,Jundiai
1864,22,Vinhedo
1319,14,Vinhedo
2406,11,Campinas
2229,23,Valinhos
1042,7,Jundiai
1185,22,Campinas
1934,10,Jundiai
2227,17,Campinas
303,19,Valinhos
2360,8,Vinhedo
1383,13,Campinas
1648,7,Valinhos
347,12,Vinhedo
1725,12,São Paulo
975,9,Vinhedo
2133,20,Valinhos
286,7,Valinhos
856,14,Jundiai
2357,12,São Paulo
950,11,Vinhedo
77,17,Valinhos
2422,22,Jundiai
473,19,Campinas
2449,16,Vinhedo
1567,19,Vinhedo
1876,6,Vinhedo
1189,13,Vinhedo
1368,21,Campinas
251,6,Valinhos
2279,7,Jundiai
791,20,Vinhedo
761,14,São Paulo
1527,20,Jundiai
298,9,Campinas
381,13,Vinhedo
1072,23,Valinhos
1625,13,Campinas
1246,10,Vinhedo
1356,19,Vinhedo
2228,13,Jundiai
2418,11,São Paulo
286,12,Campinas
297,18,Jundiai
1793,7,São Paulo
996,23,Vinhedo
1547,20,Vinhedo
616,16,Jundiai
1383,16,Jundiai
1943,10,Jundiai
2275,10,Valinhos
1099,8,Jundiai
1491,18,Jundiai
1294,11,Valinhos
61,16,Campinas
559,12,Valinhos
730,8,São Paulo
870,22,São Paulo
1535,21,Campinas
175,14,São Paulo
1941,13,Vinhedo
2415,9,Campinas
794,19,Vinhedo
846,13,Jundiai
396,20,São Paulo
2400,10,Jundiai
2299,10,Campinas
2097,8,São Paulo
573,6,Jundiai
1612,13,Valinhos
2314,21,Vinhedo
2010,11,São Paulo
1817,10,São Paulo
78,16,Vinhedo
2067,17,Jundiai
229,21,Vinhedo
1294,17,Campinas
2213,22,São Paulo
1844,6,São Paulo
1053,13,Valinhos
1658,13,São Paulo
160,11,Campinas
1995,18,Vinhedo
464,6,Campinas
584,19,Valinhos
961,17,Valinhos
1177,7,Valinhos
1250,14,Campinas
785,21,Vinhedo
1573,22,Valinhos
1983,12,Vinhedo
1183,6,Vinhedo
475,16,Vinhedo
815,23,Campinas
192,15,Vinhedo
850,12,Jundiai
1065,20,Campinas
167,6,Vinhedo
103,20,São Paulo
1628,8,Campinas
387,9,São Paulo
838,12,Jundiai
782,13,Valinhos
1947,19,Vinhedo
208,7,Vinhedo
153,7,São Paulo
1099,13,Jundiai
217,7,Vinhedo
494,8,Vinhedo
43,18,São Paulo
266,18,Jundiai
1937,20,Campinas
398,12,São Paulo
533,19,Campinas
227,15,São Paulo
401,16,Campinas
2060,21,Vinhedo
1329,15,Vinhedo
1001,22,Valinhos
1166,11,Valinhos
880,10,Campinas
106,7,Campinas
1319,20,Vinhedo
1045,22,Jundiai
1310,6,Jundiai
247,20,Vinhedo
985,23,São Paulo
562,17,Campinas
709,12,São Paulo
2314,12,Jundiai
2138,13,Campinas
943,11,São Paulo
1147,9,Jundiai
2083,9,Jundiai
2079,22,Jundiai
2312,21,São Paulo
1933,21,Valinhos
638,16,São Paulo
2059,16,Campinas
964,7,Valinhos
390,9,Vinhedo
2080,14,São Paulo
2060,15,Jundiai
266,13,Jundiai
595,12,Jundiai
2082,17,São Paulo
337,16,São Paulo
2133,17,Valinhos
1355,15,São Paulo
1923,12,Campinas
1559,21,Campinas
791,23,Valinhos
1320,11,Valinhos
261,9,Valinhos
1516,17,São Paulo
863,10,Valinhos
2132,16,São Paulo
1349,22,Campinas
1812,17,Vinhedo
1508,23,São Paulo
2329,16,São Paulo
2202,6,Vinhedo
1515,12,São Paulo
616,23,São Paulo
2244,14,Campinas
593,17,São Paulo
988,18,Campinas
2393,23,Vinhedo
686,11,Vinhedo
445,13,Vinhedo
749,12,Jundiai
282,16,Valinhos
1199,17,Vinhedo
592,17,Vinhedo
1478,16,Valinhos
2041,15,São Paulo
1114,6,Vinhedo
1141,13,Jundiai
1880,23,São Paulo
2444,19,Campinas
2093,17,Vinhedo
664,11,São Paulo
2394,22,Jundiai
1940,10,São Paulo
747,7,Jundiai
633,17,Jundiai
1520,15,Campinas
1576,11,São Paulo
1925,17,Campinas
746,13,Vinhedo
1607,10,Campinas
579,20,São Paulo
1573,18,Vinhedo
880,22,Jundiai
322,6,Vinhedo
1621,13,Jundiai
2445,12,Valinhos
199,15,Campinas
580,9,São Paulo
2206,13,Valinhos
1259,12,Vinhedo
1787,22,Valinhos
872,9,Jundiai
1791,14,Campinas
917,6,São Paulo
2090,12,Campinas
588,11,Jundiai
590,14,Vinhedo
1839,11,São Paulo
835,10,Campinas
