valor,hora,cidade,anomalia,score
1664,9,7,1,0.0879607063566683
1654,15,4,1,0.14388222125822664
1161,9,0,1,0.08372294859712015
2138,20,0,1,0.07880187158750218
651,11,7,1,0.10486108298361435
1576,21,0,1,0.08940238207721007
1019,16,6,1,0.1348825486623097
2489,19,0,1,0.04865392463460627
1380,15,4,1,0.14700377074828752
953,18,0,1,0.10993444589775547
153,7,0,1,0.03787034107219123
2350,10,7,1,0.0678290429397227
2398,10,6,1,0.08685422259984821
1980,8,1,1,0.0936306887535231
113,18,4,1,0.10838564148719187
1291,13,6,1,0.1423826426319027
1160,17,0,1,0.11256093330575268
1322,17,0,1,0.11641857608523476
1389,18,7,1,0.11155281030201125
1410,6,4,1,0.080641754693355
1569,14,4,1,0.14152509368796584
230,11,0,1,0.06433935705667482
1088,11,6,1,0.1345294920103765
263,23,1,1,0.04262563064768876
1339,15,6,1,0.13816475412492946
854,12,1,1,0.13869219039790565
2313,7,0,1,0.044047250579821506
2124,19,7,1,0.09259498056897475
1107,14,0,1,0.11373122746789044
55,14,6,1,0.0880079396597605
277,12,1,1,0.11337458779541387
202,23,7,1,0.015198834085268675
2210,15,6,1,0.10659369039876959
517,16,6,1,0.1296823273129653
1883,22,1,1,0.08658538303515362
1395,8,7,1,0.0816905923338791
2194,8,1,1,0.07634600765029331
572,9,7,1,0.08717529150987147
320,19,1,1,0.09968671407867402
1715,21,4,1,0.10368968079318325
1590,18,0,1,0.12181526015479266
551,12,0,1,0.09723807442131532
2442,13,4,1,0.08893723315030111
1605,20,6,1,0.1061340986402764
1526,9,1,1,0.10929092840153914
2033,14,6,1,0.12591758720946172
2462,9,4,1,0.07195857309839249
1766,13,4,1,0.13540367902913658
921,21,6,1,0.10741921430106705
1979,11,4,1,0.1266073975411614
847,15,4,1,0.14942695329660866
1133,8,6,1,0.11881612589181129
1837,13,7,1,0.11670432059037256
1811,20,7,1,0.10128986306644272
419,21,4,1,0.10081060283756466
2168,16,4,1,0.11869498308024234
526,15,4,1,0.14726311025716604
1000,9,4,1,0.11673827336711778
1983,23,6,1,0.04723239268183588
1034,22,1,1,0.08918991350516703
246,13,7,1,0.09063562481272658
273,7,0,1,0.04652970972164039
717,11,1,1,0.12256015645600637
1986,11,4,1,0.1266073975411614
1254,8,1,1,0.09979612877288052
921,6,7,1,0.04652142924970504
2331,20,4,1,0.089511355228721
1069,17,0,1,0.11230719779832699
1462,22,7,1,0.07463814635510657
1905,18,4,1,0.13195198000500097
804,12,0,1,0.10938056061349016
1802,19,0,1,0.10608908000821615
1254,15,0,1,0.11268948096640363
773,12,6,1,0.14560711979324648
1674,14,7,1,0.11541747619844678
1093,13,1,1,0.13137440659198502
650,18,0,1,0.10462037599225765
2098,16,1,1,0.12188175898360326
985,14,6,1,0.14229059741053002
527,8,4,1,0.11137502470304544
1416,23,4,1,0.06232110988157269
604,11,1,1,0.1191828991574741
1314,20,7,1,0.10095800860605358
2124,17,0,1,0.09986962876483518
1001,18,7,1,0.1092665319867539
2445,12,4,1,0.08804798248385715
334,12,0,1,0.08574817412409474
646,6,0,1,0.026278136883873815
1724,14,1,1,0.13687353511015754
1240,8,7,1,0.08126209435836096
1106,22,4,1,0.08307838344611684
961,20,1,1,0.10700640786772081
556,20,7,1,0.08432255718326942
2041,13,1,1,0.1203610629596219
380,20,4,1,0.11380793337663281
1361,19,0,1,0.10874219083703146
504,20,6,1,0.1086598335743672
965,13,6,1,0.1418614199420532
1027,22,6,1,0.09337218159669702
2071,18,0,1,0.10155737848276858
313,15,1,1,0.11558769625998161
999,21,1,1,0.09885529588138414
172,16,4,1,0.12228804305345997
1955,6,6,1,0.07257378090465105
1674,12,0,1,0.11979832353952324
504,16,0,1,0.09884979654341114
2358,7,0,1,0.03836806001068638
2078,15,6,1,0.11994098224029093
1344,13,1,1,0.13533458041841812
320,7,4,1,0.08601001189262292
1766,19,0,1,0.10485263339604295
1006,12,4,1,0.14293616688413247
163,23,4,1,0.03860537511431561
708,11,4,1,0.1404098173265878
1309,9,6,1,0.12325737532098713
1226,13,0,1,0.11191830032542355
179,20,4,1,0.09543101559910178
1840,11,4,1,0.1295051530222185
799,16,7,1,0.11103698446401339
1868,10,4,1,0.11787429847567443
1309,8,1,1,0.10218038775313931
2021,7,7,1,0.056572577822464276
2208,7,6,1,0.08184294577448537
720,6,7,1,0.04274547751257085
738,13,0,1,0.10683145466815397
360,11,7,1,0.09534083564459483
1007,16,6,1,0.13409114070627642
1614,20,4,1,0.11579189985812238
2391,23,1,1,0.022582201045173278
1327,16,7,1,0.1098547221326659
2288,15,1,1,0.09548965667667142
442,19,7,1,0.09967274259172082
2289,18,7,1,0.07183959425805286
1888,11,7,1,0.10156169024604517
838,17,4,1,0.14307027741106432
314,21,7,1,0.05891975821767825
1940,20,6,1,0.10390623750024763
930,17,0,1,0.10786069196902937
824,9,0,1,0.08173310880279971
601,14,6,1,0.1416468319691438
2169,14,7,1,0.09638009298418487
1285,10,1,1,0.11966012675906207
759,21,6,1,0.10507091985683026
2161,15,7,1,0.09238969017763876
2119,17,1,1,0.11261269064729867
219,22,6,1,0.05726235056033013
2490,10,0,1,0.046074850665679956
1785,23,7,1,0.04456578104741282
882,22,7,1,0.06960608015142422
841,10,6,1,0.1363438149668844
361,15,7,1,0.09792474020120201
892,19,6,1,0.13220240610402223
851,18,7,1,0.10937567309842305
755,11,0,1,0.09781420806191815
689,11,6,1,0.13795982176631572
982,10,6,1,0.13144752497606893
1708,6,0,1,0.0366475869729872
1243,10,0,1,0.09190236762629489
2307,6,0,1,0.019007538163549387
1246,18,6,1,0.1362353722141862
141,17,7,1,0.07641967584485931
1673,8,1,1,0.10587313389504333
1118,7,6,1,0.11213129896034718
760,9,7,1,0.09211828132806255
1655,16,1,1,0.13222898169796554
2268,21,4,1,0.08362330636720061
2373,11,7,1,0.06836073933421849
376,20,7,1,0.08353831730752515
2462,23,0,-1,-0.0018526466060745372
516,23,7,1,0.038681026846402955
1749,13,1,1,0.13512210064151003
2283,12,1,1,0.09876936003784698
1405,12,6,1,0.1404888241974533
1162,17,6,1,0.13010000334536254
191,19,7,1,0.08504982289234497
2358,7,0,1,0.03836806001068638
162,8,6,1,0.095040489905311
349,10,6,1,0.11408912265352283
2089,15,0,1,0.10244215663753908
1667,8,7,1,0.08085313244135806
2396,14,6,1,0.08862523790208499
936,14,6,1,0.14203872820363966
235,23,7,1,0.022983550786029983
1392,20,1,1,0.11355774457375123
587,19,1,1,0.11215151119797878
2233,16,7,1,0.0788389139230824
1126,10,4,1,0.1298962178918353
225,13,6,1,0.11601711742929893
2472,19,7,1,0.05721579621389461
1248,11,4,1,0.13635180374259964
1408,20,0,1,0.09978011853433727
1915,19,6,1,0.11675764570930125
2233,9,7,1,0.06820721384968964
1106,10,7,1,0.1026088764996661
2351,19,7,1,0.06881630898783653
2481,10,6,1,0.08392340144011046
340,14,4,1,0.13219724903840208
1349,10,7,1,0.09711312790790905
986,17,7,1,0.11196014474553939
509,20,6,1,0.1086598335743672
2233,8,4,1,0.08174752546020625
385,19,7,1,0.0950669787113696
1983,18,1,1,0.11376567451323638
1842,21,7,1,0.09144285324477341
1876,19,7,1,0.11176650553854711
491,9,6,1,0.11925779598918129
457,17,0,1,0.10058186654637513
432,21,6,1,0.09053415113736685
806,23,6,1,0.06837380632090984
1940,19,0,1,0.09432642248203371
1967,12,7,1,0.10294116551819038
1814,22,7,1,0.07111454537650808
1416,18,0,1,0.1165845031042938
966,21,7,1,0.08389825721032873
818,8,0,1,0.07592807742598551
1981,10,4,1,0.11460888390636609
1699,17,1,1,0.12626276593512736
1753,15,7,1,0.11330162450548253
321,18,1,1,0.1043678182755482
1182,19,4,1,0.12088356127943872
1306,18,0,1,0.11827133702879983
1539,20,1,1,0.11268984645161872
615,18,0,1,0.10428991398374465
1419,7,0,1,0.07198258168994731
1486,19,1,1,0.11176946678328903
224,7,7,1,0.04980134584727214
1155,9,6,1,0.1202815813480414
618,13,6,1,0.14363212263762415
1632,11,6,1,0.12664795048608224
1648,6,7,1,0.05266451913036063
1619,7,0,1,0.0777505403777804
546,17,7,1,0.10116681529963528
1722,8,7,1,0.07689609160972677
781,17,7,1,0.11360898181996804
1071,8,7,1,0.08021446428078749
2174,18,7,1,0.08780025089698451
255,17,6,1,0.11636895298320632
1402,11,7,1,0.11026025360345038
2426,6,0,1,0.012805211685240181
1251,9,6,1,0.12150275496499291
1686,20,7,1,0.09639117476303555
2427,12,0,1,0.06839786762787625
1430,18,6,1,0.12773850314387208
2085,13,4,1,0.12302468815755607
787,12,6,1,0.14573997514510778
998,18,7,1,0.1092665319867539
1079,15,6,1,0.1387127103173224
95,11,0,1,0.044130748709064416
2347,22,4,1,0.06011117163790913
2310,15,1,1,0.09102650553538172
1576,22,6,1,0.07874541199538077
2482,16,0,1,0.0661823710093069
2409,21,0,1,0.04090187047696614
290,20,1,1,0.09415478835377977
711,18,4,1,0.13789120900211743
1793,11,4,1,0.12821999856310262
571,17,7,1,0.1022463015157194
2460,12,0,1,0.06735895250525614
496,18,1,1,0.11626917624203575
608,17,6,1,0.1344515373770444
1152,23,0,1,0.03314331381115165
1645,18,4,1,0.13577746063460278
1040,6,7,1,0.0539795506445615
641,20,7,1,0.08776631016413028
2287,21,7,1,0.05158042097549864
2415,7,6,1,0.0633597771898563
1459,12,4,1,0.1413273869254173
599,8,7,1,0.0798245254666764
325,9,7,1,0.08012507579624828
1733,13,0,1,0.11474289495846368
1258,22,6,1,0.09111004479538332
1074,6,7,1,0.05030568255410295
2315,11,1,1,0.09016440943235182
1379,23,1,1,0.05540993232237723
315,7,0,1,0.050056833391032396
1586,19,7,1,0.10259185283970185
891,22,6,1,0.0884792939547221
1486,22,6,1,0.08324780125383335
1336,18,0,1,0.12022635962530215
821,18,6,1,0.14218582832980586
24,19,4,1,0.08614349731493243
245,15,0,1,0.08023820242035262
1776,17,0,1,0.11770876986096351
2106,15,4,1,0.13188715952302832
1258,17,1,1,0.1259412586352212
1309,12,4,1,0.14086780898970103
515,7,4,1,0.10008208520150164
1013,20,6,1,0.12096371675446366
13,6,1,1,0.027467568902885486
31,12,6,1,0.09068562909162803
1764,9,0,1,0.0877706356652882
706,15,1,1,0.13420138524124864
1435,15,4,1,0.14695255643289046
1165,8,4,1,0.1103856790371206
972,10,4,1,0.13039813833828218
1052,19,1,1,0.11274261874386637
355,19,7,1,0.09302524074480667
1709,18,0,1,0.1225653606491186
2169,23,7,1,0.025114520918746663
50,9,1,1,0.05905465969000434
337,17,4,1,0.1279853432962046
2307,10,6,1,0.096295639502814
1455,18,7,1,0.1059621948170153
1324,12,1,1,0.1341611299877457
937,13,4,1,0.14102218994638216
1143,11,6,1,0.13156404545030442
2269,19,0,1,0.06933548416667379
2402,20,0,1,0.05311402446364355
1353,12,1,1,0.13544037779768425
762,13,1,1,0.1402562310062755
180,9,6,1,0.10801608099764759
1009,10,7,1,0.10095546340155426
214,12,6,1,0.11075156735933661
2122,12,4,1,0.11995693834326632
826,7,6,1,0.11427178792076886
379,15,4,1,0.1417434624308207
1354,10,6,1,0.1274575890675152
460,14,1,1,0.12938796005584696
2297,7,7,1,0.03379500509466726
1321,10,7,1,0.09805777874456123
1410,19,0,1,0.1043476724644668
1897,10,0,1,0.08930198960749358
1294,13,7,1,0.12058765551833306
141,7,1,1,0.061288508564082855
947,6,6,1,0.07790837433751785
1458,7,4,1,0.10439602518824054
741,16,4,1,0.14929950174345408
202,12,7,1,0.08605489947147094
2240,22,7,1,0.04115974468518446
483,23,7,1,0.03795923664980472
1787,23,1,1,0.05681610860221642
1888,16,0,1,0.11489497197379073
2140,15,0,1,0.09553833849944893
1536,21,1,1,0.1001367145220638
320,8,1,1,0.08260425692024242
418,14,0,1,0.09837032731389056
1477,19,4,1,0.12499670100931765
551,6,7,1,0.03895659535077933
1371,13,1,1,0.1345339016350598
1692,8,0,1,0.08704711974777213
1257,20,0,1,0.10244859016924784
1082,21,1,1,0.10203821182777217
511,14,1,1,0.13176583855889623
1728,23,6,1,0.05194882280065405
167,8,1,1,0.06752860962235385
320,19,1,1,0.09968671407867402
1986,6,1,1,0.061879438266409736
738,9,6,1,0.12906091143051202
1920,22,4,1,0.08061865946719482
371,9,7,1,0.08011308555782903
1923,12,1,1,0.12868253128476786
1257,16,1,1,0.1296209849678921
1691,19,0,1,0.10670512542372046
1324,11,4,1,0.1369656054543374
583,9,7,1,0.0894765494476828
2365,20,1,1,0.07059243281789218
145,13,4,1,0.11858149714681726
733,14,7,1,0.118619627870853
771,8,0,1,0.07775419103448555
1820,12,4,1,0.13063765958313384
1714,20,7,1,0.0977404285738846
167,19,0,1,0.056093534341451146
189,7,0,1,0.043210335332161565
827,22,0,1,0.06055586487459497
1256,10,0,1,0.09207739667467796
355,19,7,1,0.09302524074480667
636,14,6,1,0.14192136106551473
1456,17,4,1,0.14057371652812656
2457,21,7,1,0.03334055935994418
888,17,7,1,0.11507672422918702
1643,9,7,1,0.08639148319334566
599,17,7,1,0.10523527068748595
932,9,7,1,0.09312503590217214
27,23,6,1,0.024270387284166195
1741,14,6,1,0.13253371136130793
2344,20,6,1,0.07408814562468125
203,19,7,1,0.08635706354195216
68,14,0,1,0.05757342246051789
577,22,0,1,0.055506787918171874
1245,20,1,1,0.10974190717853566
2008,15,0,1,0.10935963607990373
844,13,6,1,0.14686586409215263
699,14,1,1,0.1359784243781288
508,21,4,1,0.10416981541663767
2114,8,6,1,0.0962748087392229
818,6,7,1,0.04469248333493814
1718,16,7,1,0.1049475793503129
2288,16,4,1,0.11386870598219156
1059,14,7,1,0.12135323634684231
543,19,0,1,0.08957116215087613
1314,7,0,1,0.0741469516483877
461,20,1,1,0.10876390410883863
476,23,4,1,0.05798709529927204
2366,12,6,1,0.09539537647481189
659,19,0,1,0.09420737548157543
1103,16,4,1,0.14055914474384795
567,16,4,1,0.14827463777174632
1974,12,6,1,0.12487148470977771
693,15,7,1,0.11545566139432883
2066,13,7,1,0.10131891748657673
1657,7,6,1,0.1117438919827824
157,21,7,1,0.04657584714911689
1353,6,4,1,0.08076455377860647
233,22,7,1,0.038264573643064015
1385,18,4,1,0.13864677551249321
873,10,4,1,0.1337986888465298
194,6,1,1,0.044156484121279704
2427,19,6,1,0.07583172707340091
1627,12,4,1,0.13510886533084177
2106,13,7,1,0.09730023256410103
2055,7,0,1,0.06466511872948744
2001,6,0,1,0.03241947779462706
747,10,7,1,0.10087577770022804
633,10,4,1,0.13506914860733293
2399,8,6,1,0.0723309483279968
1652,7,1,1,0.09826219020603855
852,12,4,1,0.14836701402718577
1614,16,6,1,0.124072010420127
1187,15,1,1,0.13077841573896998
914,12,4,1,0.14824747309714698
1896,17,7,1,0.10511005301067122
2367,8,1,1,0.05768161489779733
1528,11,7,1,0.10367337583802005
1824,13,7,1,0.11386578920662577
2357,21,6,1,0.06534049867681124
1523,15,1,1,0.13305790713980814
2441,6,1,1,0.03679917770215946
1275,20,7,1,0.10174454418060774
1312,16,0,1,0.11703323118069497
175,10,7,1,0.08238186502424527
379,11,1,1,0.11306321594608759
2478,15,7,1,0.052136822037066266
251,21,6,1,0.08242081398136969
809,13,6,1,0.145900734989575
47,8,0,1,0.030186142963887108
1923,7,7,1,0.06066574586657081
653,16,4,1,0.14997846850383245
2107,18,7,1,0.09404465935197837
1049,15,0,1,0.10890335223425451
749,17,1,1,0.12860288704030154
38,18,0,1,0.050325065520015366
632,13,0,1,0.1064506931849612
474,7,6,1,0.0994683355990364
548,15,4,1,0.14902948468912275
1810,21,4,1,0.10503135911225575
304,15,6,1,0.11717691755579068
387,19,1,1,0.1062748179063363
742,8,4,1,0.11592857990272509
117,9,4,1,0.09514822441553694
1575,22,0,1,0.07858033096775086
723,19,6,1,0.1283106205321275
1275,16,4,1,0.141496503711178
222,8,0,1,0.05348287342545477
1109,8,6,1,0.11762005869247688
415,9,6,1,0.11650209800358091
2017,20,7,1,0.09025434727405701
1300,21,6,1,0.10493875216816467
342,13,4,1,0.13211485306167764
550,14,1,1,0.1335824888067788
1521,16,4,1,0.14141424258160162
2149,10,7,1,0.08562421961046696
1885,17,0,1,0.11250388781481457
326,10,1,1,0.10053684212805064
779,21,0,1,0.06959876622234351
426,23,4,1,0.05561724262254586
2395,12,4,1,0.09362328088498295
322,12,6,1,0.11932692707064674
1109,15,6,1,0.1384042220579048
1483,22,0,1,0.08051489154853642
1643,10,1,1,0.12432307936526998
30,6,1,1,0.02984672331749849
1310,18,4,1,0.13447840513639564
2000,16,6,1,0.12047628049199605
1082,9,6,1,0.12674662987443175
1680,10,6,1,0.12557039544602555
936,18,7,1,0.11131172670740924
1910,12,0,1,0.11310671963153623
2297,9,4,1,0.08457532394954714
2181,22,4,1,0.06756261933022945
1681,6,6,1,0.08151107837624105
1739,11,6,1,0.12623626774410113
1347,20,7,1,0.09687537741549179
835,12,4,1,0.14706888613402486
1050,11,0,1,0.09756126552815464
2446,19,7,1,0.05995965995321462
1198,21,1,1,0.10282139412377411
241,8,0,1,0.05436755475130117
916,6,6,1,0.07681356097752534
2497,21,0,1,0.03497813114365411
1700,14,7,1,0.11395006163284943
1955,23,0,1,0.031996574783905274
994,11,6,1,0.13472917024668157
808,12,0,1,0.10872279207485142
1945,14,7,1,0.11207662891315223
1282,19,0,1,0.10725707481071667
1334,23,4,1,0.05659315910120133
1040,13,7,1,0.11867155457724954
2055,23,0,1,0.028310855767374354
2358,14,1,1,0.08650337347808057
972,18,6,1,0.1410226781459477
374,17,4,1,0.13669880736077367
2467,8,7,1,0.030417685917880855
1551,16,4,1,0.14171168774869525
1853,8,1,1,0.10111744387438482
419,18,4,1,0.1300225274349508
346,6,4,1,0.05885404800827165
1839,10,6,1,0.11980491709029523
1674,7,7,1,0.0681628975859413
524,19,0,1,0.09093757060562424
1671,7,6,1,0.1135608607607479
578,13,4,1,0.14273850141150962
91,16,0,1,0.05521524059502769
121,22,1,1,0.043842114604199844
636,22,7,1,0.06093989257613297
466,14,1,1,0.12938796005584696
1114,21,7,1,0.0876508364089491
79,6,7,1,0.01899093170835442
248,19,0,1,0.07152021816268683
14,19,6,1,0.07872204122847704
1402,14,7,1,0.12705689057872555
2282,14,4,1,0.11348227862081778
832,13,1,1,0.13703988451551763
718,22,6,1,0.08709705926936628
1228,8,7,1,0.08126209435836096
1112,15,7,1,0.12255294575540387
1883,18,0,1,0.11359246817796337
217,20,1,1,0.08521891571872398
601,17,6,1,0.1344515373770444
1056,12,1,1,0.133424372492277
2055,18,0,1,0.10246044708870433
1460,10,0,1,0.09247611840504077
1720,8,6,1,0.11440397200731306
183,13,4,1,0.12076665716853968
1045,18,7,1,0.1105935582380484
1268,13,0,1,0.115046974723584
2332,23,1,1,0.02486690073434128
475,17,7,1,0.1037334430989797
922,18,6,1,0.1406765923542716
2268,22,0,1,0.04219976512266044
388,23,1,1,0.05370642549684779
1195,14,0,1,0.11319512683660826
2479,9,7,1,0.04449268269341611
1390,12,4,1,0.14390615010940022
1198,19,1,1,0.1127608869596492
1637,19,0,1,0.10967683657384741
244,20,1,1,0.0919943709211769
808,23,6,1,0.06837380632090984
640,12,7,1,0.10830198257894025
1360,8,1,1,0.10196831436485893
28,12,6,1,0.09068562909162803
398,12,6,1,0.12572064354725004
1605,20,1,1,0.11203484975472833
1098,14,7,1,0.12601953173819408
916,19,6,1,0.1312617892565382
1444,19,1,1,0.11323935293761966
200,7,1,1,0.06605890857834884
409,11,6,1,0.12290511782650076
1519,18,0,1,0.11889906970891939
180,21,1,1,0.07397499422637333
633,18,4,1,0.13636401818591454
1580,21,1,1,0.0991249075553251
1677,19,7,1,0.10667107459670022
2173,6,0,1,0.026388679978732954
38,11,6,1,0.0913230401527958
139,8,7,1,0.058241350261485136
172,15,4,1,0.12254594733693752
1609,22,4,1,0.08299592395640976
1153,18,0,1,0.11660021245143626
1151,23,1,1,0.05398318745063191
2352,7,4,1,0.06312468153542639
766,17,4,1,0.14601863122394287
1905,9,7,1,0.0839289967001825
488,22,0,1,0.05579030344147862
356,9,4,1,0.10639742951313291
1041,7,4,1,0.10283785509301824
210,12,6,1,0.11075156735933661
2352,7,1,1,0.04896870196302705
2014,22,1,1,0.07718451256020342
164,10,4,1,0.11059895383807328
1012,11,4,1,0.1376757674860809
2396,17,1,1,0.08176354399987928
1317,15,4,1,0.14551714755348516
953,12,0,1,0.10966357402690963
1591,21,1,1,0.10013861404219854
1070,21,4,1,0.10051822744566774
536,11,7,1,0.09990827185634926
1310,11,4,1,0.13727549874480394
1651,6,1,1,0.0715781068497715
2404,16,4,1,0.10150177390991871
328,16,6,1,0.11418191369301806
1187,23,6,1,0.05654518888655735
1457,14,6,1,0.1381001957478769
10,8,7,1,0.04226583939234452
995,6,4,1,0.07225328582843404
2120,21,1,1,0.0808975746104148
1786,11,4,1,0.12821999856310262
524,15,7,1,0.10979343552268628
492,7,0,1,0.05804511324242745
1755,11,4,1,0.1294894070625336
1651,12,4,1,0.1346423312988299
284,17,7,1,0.09174097230673828
478,22,6,1,0.07207101886841638
1347,14,0,1,0.11886830502452822
